[511] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[514] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[517] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[523] TAG: <h3> | ARIA: '' | TITLE: 'Fee Residency' | TEXT: ''
[527] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[530] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[533] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[536] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[542] TAG: <h3> | ARIA: '' | TITLE: 'Enrollment Status' | TEXT: ''
[546] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[549] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[552] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[555] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[561] TAG: <div> | ARIA: 'Show 'Vertical Container'' | TITLE: 'Show 'Vertical Container'' | TEXT: ''
[562] TAG: <div> | ARIA: ' ' | TITLE: '' | TEXT: 'Grade Distribution Report | Note: Expand or Contract the hie'
[563] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Grade Distribution Report'
[564] TAG: <div> | ARIA: 'Marks. Press Shift+Enter to open the View Data window. Use arrow keys to navigate data visualization elements.' | TITLE: '' | TEXT: ''
[565] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Note: Expand or Contract the hierarchies by selecting the [+'
[566] TAG: <div> | ARIA: 'Grade Distribution Report. Data Visualization. Text Table chart of Measure Names Course Listing, Text applied to Measure Values. Press Enter to navigate the data visualization. Press tab to navigate to the next object.' | TITLE: '' | TEXT: ''
[568] TAG: <h3> | ARIA: '' | TITLE: 'Academic Year ' | TEXT: ''
[572] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[575] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[578] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[581] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[587] TAG: <h3> | ARIA: '' | TITLE: 'Semester' | TEXT: ''
[591] TAG: <button> | ARIA: '' | TITLE: 'Click to Show All Values' | TEXT: ''
[594] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[597] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[600] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[606] TAG: <h3> | ARIA: '' | TITLE: 'Student Admit Type' | TEXT: ''
[610] TAG: <button> | ARIA: '' | TITLE: 'Click to Show All Values' | TEXT: ''
[613] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[616] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[619] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[625] TAG: <h3> | ARIA: '' | TITLE: 'First Attempt Status' | TEXT: ''
[629] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[632] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[635] TAG: <button> | ARIA: '' | TITLE: 'All Values in Database' | TEXT: ''
[638] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[644] TAG: <h3> | ARIA: '' | TITLE: 'IN Handling' | TEXT: 'IN Handling'
[645] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'IN Handling'
[646] TAG: <span> | ARIA: 'IN Handling Incompletes' | TITLE: '' | TEXT: 'Incompletes'
[647] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Incompletes'
[648] TAG: <div> | ARIA: 'Visualization controls' | TITLE: '' | TEXT: 'Undo | Redo | Revert | Refresh | Pause | Replay Animation | '
[649] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Undo'
